Post;Comentários;Curtidas;Link;Plataforma;QTD_Comentários;QTD_Compartilhamentos;Imagem;Data;Prefeitura;PagFacebook
As matrículas 2025 da Rede Municipal de Ensino de Itambé estão oficialmente abertas! Senhores pais e responsáveis, sabemos da importância de uma educação de qualidade, e é com grande alegria que convidamos todos a garantirem a vaga de seus filhos! Com professores capacitados, estrutura acolhedora e foco no desenvolvimento integral dos alunos, nossas escolas estão prontas para receberem todos de braços abertos.Para realizar a matrícula, basta procurar a escola mais próxima da sua residência. Educação transforma vidas. Escolha a Rede Municipal de Ensino de Itambé e faça parte dessa transformação!;['Convoquem os professores de História!', '👏🏾👏🏾👏🏾👏🏾👏🏾', 'Muito bem deixem tudo em dias.', '👏👏👏👏', '👏👏👏'];85;https://www.instagram.com/p/DCJ1p6IqWrD/;Instagram;5;0;Video;09/11/2024;;
O Novembro Azul é um movimento global para conscientizar os homens sobre a importância do cuidado com a saúde! Marque na agenda: se você tem 50 anos ou mais, ou faz parte do grupo de risco, procure seu médico e faça os exames preventivos. O diagnóstico precoce pode salvar sua vida. Junte-se a nós nesta campanha!#NovembroAzul #CâncerDePróstata #CuidadoMasculino;[];28;https://www.instagram.com/p/DCHc0ywuYZb/;Instagram;0;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465878931_3608580946063962_4927711603140762646_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=MBIO6sj6cbAQ7kNvgED4p9g&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5Njg5MDQwODg5NjEzNjc5NQ%3D%3D.3-ccb7-5&oh=00_AYBTXUklJTbDcFGoO7M38MKpJrQgcy88Cz6GIBSXOrSslw&oe=6736CC7C&_nc_sid=7a9f4b;08/11/2024;;
A Prefeitura de Itambé entende que cuidar da nossa comunidade é prioridade. Diariamente, refeições nutritivas são distribuídas pela assistência social para garantir que ninguém fique sem a alimentação necessária. É o compromisso de cuidar e proteger aqueles que mais precisam!#PrefeituraDeItambé #ItambéEmBoasMãos #TrabalhoComResponsabilidade;['👏👏👏👏', 'Tá com muitas novidades.'];90;https://www.instagram.com/p/DCHGdeXOSSI/;Instagram;2;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465609865_932729762039568_4611665966187967563_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=QIyA9vrV7y8Q7kNvgHCbLp9&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5Njc5MjA0OTQyMjI0NzA0OA%3D%3D.3-ccb7-5&oh=00_AYBX1ezsXnBRm--2tIrap0xxQ3IXd47ZamkSeulGOsf52g&oe=6736C938&_nc_sid=7a9f4b;08/11/2024;;
Via: @inep_oficial @mineducacao 🤩 📝 E aí, participante! Tudo certo para realizar a segunda parte do Enem 2024?As provas de Ciências da Natureza e suas Tecnologias e Matemática e suas Tecnologias serão aplicadas no próximo domingo, 10 de novembro. É importante lembrar que o exame acontecerá no mesmo local de provas do último domingo, 3 de novembro.⏰ Cuidado para não se atrasar, hein? Os portões serão abertos às 12h (horário de Brasília) e serão fechados às 13h. Os participantes poderão responder às provas a partir das 13h30. A aplicação seguirá até às 18h30.Saiba mais em: gov.br/inep;['Se não fosse o ônibus de Juripiranga a maioria dos alunos daqui de ibiranga não teriam feito o ENEM, por causa q a prefeitura de Itambé não colocou ônibus pra os estudantes!', 'Haverá ônibus de Ibiranga à Itambé?'];28;https://www.instagram.com/p/DCE_3ktOiLX/;Instagram;2;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/466042644_544451178187161_3897135331221316704_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=rySBTbQsEUoQ7kNvgH-iOLG&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NjIwMDEwNjY2MTI1Nzk0Mw%3D%3D.3-ccb7-5&oh=00_AYBQVAfWyuvFtVDgmP7nrzg5ge_YRK8NIorpurX-0YuG6w&oe=6736BE43&_nc_sid=7a9f4b;07/11/2024;;
Número atualizado da Ambulância de Caricé (81) 9.8392-9086;['Meu deus que esse povo fique onde está não faça loucura .', 'A prefeitura precisa dar um comunicado oficial sobre a questão do concurso. Conheço gente que já pediu demissão do emprego pra assumir'];120;https://www.instagram.com/p/DCEs7y4OzzC/;Instagram;2;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465774137_424864357144316_7659974805092330690_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4OTA4LnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=1oJ7g2az2DAQ7kNvgF40cxm&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NjExNjgzMzg3MjQ2MDk5NA%3D%3D.3-ccb7-5&oh=00_AYBK1mz3PuhwnOjPMz0msDiQhydNEMphPw4zag8fMuD0Ew&oe=6736B96D&_nc_sid=7a9f4b;07/11/2024;;
O Novembro Azul é um movimento global para conscientizar os homens sobre a importância do cuidado com a saúde! Marque na agenda: se você tem 50 anos ou mais, ou faz parte do grupo de risco, procure seu médico e faça os exames preventivos. O diagnóstico precoce pode salvar sua vida. Junte-se a nós nesta campanha!#NovembroAzul #CâncerDePróstata #CuidadoMasculino;['A entrega do documentos do concurso público irá até quando ...'];36;https://www.instagram.com/p/DCEepfkODgH/;Instagram;1;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465888734_522834303985418_6601485639206466670_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=kY0BJhgrNVcQ7kNvgEPaE6x&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NjA1NDAwMzUzMzg4NzQ5NQ%3D%3D.3-ccb7-5&oh=00_AYAbEh10RQgfSIB1xM_g4zmf4auQjPt4CbxKysjonyuUEQ&oe=6736B695&_nc_sid=7a9f4b;07/11/2024;;
A Prefeitura de Itambé, por meio da Assistência Social, realizou a entrega de kits enxoval para gestantes cadastradas, trazendo mais conforto e alegria para as futuras mamães. Com itens essenciais, como roupinhas, lençóis, banheira e bolsa, o kit é um apoio importante para que cada bebê comece sua vida rodeado de cuidado e carinho.É Itambé em Boas Mãos, cuidando de cada família e oferecendo suporte para um começo de vida com mais amor e segurança! #PrefeituraDeItambé #ItambéEmBoasMãos #AssistênciaSocial;['Enquanto isso na Escola de Quebec os alunos estão sendo servidos de bolacha pura todos os dias na hora da merenda, isso ninguém posta !', '👏👏👏', '👏👏👏👏', '👏👏👏👏', 'Cabe mais coisa dentro dessa banheira não 😂,', '😏', 'Olha aí as vdds'];153;https://www.instagram.com/p/DCCipTiOOl6/;Instagram;7;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465538053_895717212668656_7927996762114564419_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=kVLI7JW6U-YQ7kNvgHBg9iB&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NTUwODYzMjg0ODA5OTcwNg%3D%3D.3-ccb7-5&oh=00_AYD8LQx63YBMugrqs1rAYVdAsxmJcA7MfQfHTpksESBX9A&oe=6736D454&_nc_sid=7a9f4b;06/11/2024;;
Na última terça-feira (05), o Secretário de Cultura, Turismo, Esporte e Lazer de Itambé, Manuel Eneas da Silva Filho, representou a Prefeitura Municipal na cerimônia de entrega do selo Transparência Festejos Juninos 2024, realizada na Arena Pernambuco.O evento, organizado pelo Ministério Público de Pernambuco, em parceria com o Tribunal de Contas do Estado (TCE-PE) e a Associação Municipalista de Pernambuco (AMUPE), destacou a importância de promover a transparência nos investimentos para as celebrações juninas.A conquista deste selo reafirma nosso compromisso com a honestidade e a clareza na gestão dos recursos, sempre em benefício da nossa comunidade.;['O que aconteceu com o concurso?', 'E qual a programação de Natal, Sr Secretário? Acho que esse ano nem aquele canos de led enrolado nas árvores vai ter 😂😂😂😂', 'O novo prefeito quer colocar os deles simplesmente isso. Eu entraria na justiça mas não perdia. Só acho', 'e pode 4 secretarias na mão de uma pessoa só? 🤔', '👏🏼👏🏼👏🏼👏🏼👏🏼', 'O gato comeu o concurso kkkkk', 'Essa gestão que tá se despedindo pode tudo .'];136;https://www.instagram.com/p/DCCGYkIpw5M/;Instagram;7;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465805829_1639366640017211_8901197700426602418_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=8mlAXQpMeBMQ7kNvgGelCpo&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NTM4NDMzNzEzOTMwNjA2MA%3D%3D.3-ccb7-5&oh=00_AYAqsIOcJjMDQOe_bNEniGcIbbYoUweN24dQJhgY17npTw&oe=6736C46B&_nc_sid=7a9f4b;06/11/2024;;
🏀 Ginásio Esportivo José Mendes Filho de cara nova! 🏀Nosso ginásio está mais bonito e funcional do que nunca! 👏 Com um novo teto, reparo completo no piso e toda a estrutura renovada, continuamos oferecendo o melhor equipamento esportivo da Zona da Mata pernambucana. 💪Tudo isso para você, cidadão Itambeense, aproveitar com conforto e segurança! 🏐⚽;['Parabéns. A diplomação de Armando Pimentel será num belo local. 👏👏👏', '👏👏👏👏👏👏👏👏👏', '👏👏👏👏👏👏👏👏👏👏', '👏👏👏👏👏', '👏👏👏👏👏👏👏', 'Falta um bicicletário do lado de dentro, com visão das câmeras de segurança. É um descaso o que quem vai de bike tem que passar.', '👏👏👏', 'Ficou lindoo 👏👏💥💥', 'A quadra de esportes de carice nunca fez 🤦', 'Ficou linda parabéns prefeita 👏🙌', 'Linda demais 👏👏👏', '👏👏👏👏👏', '👏👏👏👏👏👏👏👏', '👏👏👏👏👏👏', '@donagracaitambe se pronuncia sobre as medidas que estão tomando a respeito do concurso. O que vai ser feito? Haverá ou não mais convocações?'];355;https://www.instagram.com/p/DCB8bABOXl1/;Instagram;15;0;Video;06/11/2024;;
A Prefeitura de Itambé promove aulas de hidroginástica para os idosos, incentivando a prática de atividades físicas para uma vida ativa e saudável. Sabemos que a saúde não tem idade e que o bem-estar dos nossos idosos é prioridade!Itambé está em boas mãos, promovendo qualidade de vida e felicidade para nossa terceira idade! #PrefeituraDeItambé #ItambéEmBoasMãos #TerceiraIdade #Hidroginástica #QualidadeDeVida;['Umm', 'Ummmmmmmm', '👏👏👏👏', '👏👏👏👏👏👏'];102;https://www.instagram.com/p/DCAaZSeO7Th/;Instagram;4;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465779344_862872182710218_7547388147323814974_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=4u9mtlCtEYcQ7kNvgFroD9P&_nc_gid=aa6f7a0e7f8847ea9511b78fd2fada3b&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NDkwOTM5Nzg3MDI5NDI0MQ%3D%3D.3-ccb7-5&oh=00_AYD_C8EVwIyrNEiGrr6SotpCzqL07LWMAZxZNOwQLnBzPQ&oe=6736E0A6&_nc_sid=7a9f4b;05/11/2024;;
