Post;Comentários;Curtidas;Link;Plataforma;QTD_Comentários;QTD_Compartilhamentos;Imagem;Data;Prefeitura;PagFacebook
👩🏻 Larissa é uma das 592 pessoas que saíram da lista de espera e realizaram a cirurgia bariátrica através do Opera Paraíba. 👨🏽‍⚕️ Além de ampliar o acesso às cirurgias, o programa também oferece suporte completo aos pacientes, incluindo acompanhamento nutricional e psicológico, que são essenciais para garantir qualidade de vida após o procedimento. 🫶🏼 O Opera Paraíba transforma vidas. Pense num orgulho! 👉🏾 Saiba mais sobre o programa no PB TÁ ON nos nossos destaques e siga @operaparaiba. #Paraíba #Saúde;['👏👏👏🦋❤💫🙏'];15;https://www.instagram.com/p/DCRULv9JgvW/;Instagram;1;0;Video;12/11/2024;;
✍🏽 A gente sabe o quanto ajuda ter uma Casa da Cidadania por perto. E foi a vez de Queimadas receber a sua. 👏🏽 Agora a população do município não precisa mais se deslocar para outra cidade para ter acesso a emissão de documentos pessoais, atendimento do Cadastro Único, Procon, Protocolo Municipal, entre outros serviços essenciais.Tudo perto, numa estrutura novinha e com atendimento humanizado. ✨ Esta é a 53ª Casa da Cidadania entregue no estado.Eita, como é bom resolver tanta coisa num lugar só! #Paraíba #DesenvolvimentoHumano #Cidadania;['👏👏👏👏👏👏👏👏👏👏', 'Faz uma em Lucena! 🙏🏼', '👏👏👏👏👏👏👏👏'];152;https://www.instagram.com/p/DCPm8bip1BY/?img_index=1;Instagram;3;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/466522083_18465606193019116_471125255385169197_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9cZSTAQv1aYQ7kNvgFr45rh&_nc_gid=36dad3263bf4412fad0d85f2787c9d43&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5OTE4NjcwMDQ0MjU4Mjg3Nw%3D%3D.3-ccb7-5&oh=00_AYBHJ0W8seQdQdL0SMP-2_2Eca5erh_VoTYvn5p1C4Ykqg&oe=67391D17&_nc_sid=7a9f4b;11/11/2024;;
✅ Na Paraíba tem trabalho com força, viu?!Nesta semana, o Sine-PB disponibiliza 691 vagas de empregos nas unidades de 12 cidades do nosso estado.📍 Uma delas pode ser sua!‌✨ Paraíba, um estado que avança em desenvolvimento através da geração de empregos.‌#Paraíba #Empregos;['Telefones nao serve , apenas enfeite ninguém atende .'];155;https://www.instagram.com/p/DCPEz49JI6h/?img_index=1;Instagram;1;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/465900444_18465558982019116_7767671042842147394_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=uxZMbF3lNvgQ7kNvgG7cHvK&_nc_gid=36dad3263bf4412fad0d85f2787c9d43&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5OTAzNjU4NjQ2MTc4Nzc4NA%3D%3D.3-ccb7-5&oh=00_AYCp6Aj8M9h3Xl_2qA_JZGNgYbTaggqI92f3MUyYxMTPoQ&oe=67391CC2&_nc_sid=7a9f4b;11/11/2024;;
❤️ A saúde da Paraíba só melhora!👨🏽‍⚕️ O Programa Opera Paraíba vem ampliando o acesso às cirurgias eletivas em todo o estado, entre elas 592 bariátricas, um dos procedimentos realizados no combate à obesidade.🏆 Esse resultado, segundo o Sistema de Informações Hospitalares do Datasus, o Tabwin, coloca a nossa Paraíba na liderança de cirurgias bariátricas realizadas pelo SUS no Nordeste, em 2024.#Paraíba #Saúde;['Verdade, também estou na fila de espera pra fazer a minha cirurgia e na minha última consulta no ambulatório da frei Damião, faltam que foi suspensas as cirurgias por tempo indeterminado 😢 lamentável', 'Bem na minha vez, suspenderam as cirurgias na Frei Damião. Lamentável 😢😢 …', 'No ambulatório da frei Damião não estar tendo mas as consultas com os cirurgiões 😔 faz 2 semanas . Qria saber quando vai voltar se vai voltar , tanto as consultas como as cirurgias da Frei Damião', '👏👏👏👏', '👏👏👏👏👏😍😍😍😍 SUS é vida 😍😍😍😍😍', 'E voltou as bariátrica do frei damiao que estavam suspensas', 'A gente está fazendo isso através não é de estética dando só saúde né então quer ir vocês Veja isso aí o que é que pode fazer só Deus sabe quando é que vai voltar as coisas funcionar direito muita pouca pessoa que faz cirurgia por mês é bem complicado', 'Minha filha trabalha no trauma ficou sem receber sua produtividade', 'como assim? se vocês paralisou? que não está avendo cirurgias, propaganda inganosa.', 'Só não liberar a retirada do meu cisto no ovário né.', 'Cadê a produtividade do povo governador', 'Que senhor tirou esse mês a saúde precisa de uma resposta minha trabalhar no trauma não recebeu esse mês', 'Não sei o que está acontecendo mas na frei Damião foram suspensas as consultas e as cirurgias lamentável onde muitas pessoas estão sendo frustadas fico muito triste lutei muito pra chegar nessa fila e agora não temos resposta de quando vai  voltar poraquê ninguém nos fala nada só que cancelaram'];174;https://www.instagram.com/p/DCOwtRwpOgD/;Instagram;13;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/465667965_18465530200019116_7429639546924897851_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0qM5Whf8xxYQ7kNvgEexxLD&_nc_gid=36dad3263bf4412fad0d85f2787c9d43&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5ODk0ODE3ODE5MjE2NDg2Nw%3D%3D.3-ccb7-5&oh=00_AYDCd_N7-cd_QMw_ZzL64_qh70q0ZALkEUkQSGSjwrSLUg&oe=67391E95&_nc_sid=7a9f4b;11/11/2024;;
👏🏼 O varejo é um dos setores beneficiados com o desenvolvimento constante da economia na Paraíba. Esse crescimento coloca nosso estado como um dos que mais cresceu no setor, em todo o país. ✅ As ações e a gestão eficiente do Governo da Paraíba, assim como indicadores positivos da economia do Estado, são fatores que contribuem para que o crescimento do varejo seja reconhecido e que a estimativa seja de crescer ainda mais. #Paraíba #Varejo;['Então porque de cada 100 reais impostos recebemos 286, isso é vergonhoso', '👏👏👏👏👏👏👏👏', 'Paraíba que amo muito', 'Nossa Paraíba 👏👏👏👏😍'];104;https://www.instagram.com/p/DCMyjzBJQwK/;Instagram;4;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/466409026_18465397180019116_1297450262715696495_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=T0S9XHXGjTkQ7kNvgErFcqF&_nc_gid=36dad3263bf4412fad0d85f2787c9d43&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5ODM5MzM3Mjg0NzMxMTg4Mg%3D%3D.3-ccb7-5&oh=00_AYD-UEI3ZYa-amdKeRC03pU71T2gOtPqRBS9xML08ah3Vw&oe=67390625&_nc_sid=7a9f4b;10/11/2024;;
😍 Eita, Paraíba linda!⛱️ Bora saber mais sobre a Praia de Tabatinga, essa joia rara que fica no Conde, a 30km de João Pessoa.🦀 Com faixa de areia larga ideal para uma boa caminhada, águas mornas e lindas falésias de argilas coloridas, Tabatinga é um paraíso do nosso litoral, uma área de preservação ambiental cheia de encantos.🐟 Para se ter uma ideia geral, suba no Mirante das Tartarugas e deixe os olhos observarem a natureza do local. Por fim, um delicioso banho no maceió de águas misturadas pelo encontro do rio com o mar. Tu vai desejar voltar muitas vezes, é certo!☀️ Vem viver a Paraíba!#Paraíba #PraiaDeTabatinga #EitaParaíbaLinda;['❤️❤️❤️❤️linda demais', '👏👏👏👏👏👏👏👏', '❤️❤️❤️❤️', '😍', '😍', '👏👏👏👏👏👏👏👏', 'Linda! 😍', '❤️❤️❤️❤️❤️❤️❤️'];356;https://www.instagram.com/p/DCMWrMgJqRG/?img_index=1;Instagram;8;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/465989658_18465354811019116_2570650108159659891_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=2P_zo9dDwmIQ7kNvgH9Z7Zx&_nc_gid=36dad3263bf4412fad0d85f2787c9d43&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5ODI3MDcyOTIxNzQzNzcyMQ%3D%3D.3-ccb7-5&oh=00_AYBe1awMcHMclSmZll2TWD_fyU3wxr-zs_6N_BWGX1mEMQ&oe=67390C07&_nc_sid=7a9f4b;10/11/2024;;
Se liga no que aconteceu nessa semana na Paraíba. ✨É na Paraiba, sim senhor!#Paraíba #ResumoDaSemana;['👏👏👏 Todas!', '👏👏👏👏👏👏👏👏', 'Sensacional show 👏👏👏👏👏👏', '😍😍😍😍😍', 'Site para investidores', '👏👏👏👏👏👏', '📢 APENAS 84 Papiloscopistas são excedentes do concurso da Polícia Civil, TODOS já terminaram todas as fases e aguardam o chamamento para o Curso de Formação na T3!...Com uma vacância 180 vagas previstas em lei o cargo de Papiloscopista da Polícia é essencial nas realizações de perícia com fim de auxiliar a justiça no estado da Paraíba!...Por mais PAPILOSCOPISTAS na próxima turma! 🔝', '🙌'];117;https://www.instagram.com/p/DCKV2S0JGzl/;Instagram;8;0;Video;09/11/2024;;
🍝 Ei, tu já conhece o Tá na Mesa, programa do Governo da Paraíba criado para combater a insegurança alimentar dos paraibanos?😋 Presente em 147 cidades com o objetivo de oferecer pratos saudáveis e fresquinhos pelo precinho de R$1,00!🥗 Faça como Dona Maria José, garanta essa quentinha todo dia num local mais perto de você!#SobreoPrograma:Criado para combater a insegurança alimentar na Paraíba, o Programa Tá na Mesa está presente em 147 cidades, garantindo comida na mesa de mais de 800 mil paraibanos, todos os dias, por apenas R$ 1,00. #Paraíba #TáNaMesa;['👏👏👏👏👏👏👏👏👏', '🙌🔥🔥🔥', 'Tá na mesa ❤️👏', 'Alguém sabe me informar como faz pra atualizar cadastro pra benefício social? Só ir no CRAS, ou tem outras opções?'];110;https://www.instagram.com/p/DCJ6YXRJqp6/;Instagram;4;0;Video;09/11/2024;;
✨ Olha que beleza que ficou a ponte das 3 Ruas em João Pessoa!😍 É mais qualidade de vida para mais de 300 mil pessoas na região!#Paraíba #Infraestrutura #JoãoPessoa;['Ficou muito linda e João Pessoa já está colhendo os benefícios desta obra!', 'E o impacto ambiental?', 'Ficou linda demais. E a arborização do Parque foi generosa 😍', 'Obra de encher os olhos, mas o impacto positivo na mobilidade urbana é o seu maior resultado. Parabéns, governador @joaoazevedolins!', 'belo atalho para chegar na UFPB e HU 👏🏾👏🏾👏🏾🤩', 'Respeite uma obra!!! 👏👏👏👏👏👏👏👏👏👏👏', 'Mais uma obra lindaaa❤️❤️❤️❤️', '👏👏👏😍😍😍', 'Espetacular !!!', '🔥🔥', 'Parabéns viva a minha Paraíba, enquanto isso Natal e o RN é uma atraso total!', '👏👏👏👏👏👏👏👏👏👏👏', 'Fantástico 👏👏', '📢 APENAS 84 Papiloscopistas são excedentes do concurso da Polícia Civil, TODOS já terminaram todas as fases e aguardam o chamamento para o Curso de Formação na T3!...Com uma vacância 180 vagas previstas em lei o cargo de Papiloscopista da Polícia é essencial nas realizações de perícia com fim de auxiliar a justiça no estado da Paraíba!...Por mais PAPILOSCOPISTAS na próxima turma! 🔝', 'Ficou lindo 👏👏'];1.568;https://www.instagram.com/p/DCJlyEgpSI3/;Instagram;15;0;Video;09/11/2024;;
😍 É muita emoção poder ouvir um depoimento tão forte quanto o de Renata.❤️ Ela, assim como mais de 10 mil paraibanos, teve a vida mudada pelo Programa Coração Paraibano.✨🩺 É mais saúde e qualidade de vida para toda Paraíba.#Paraíba #CoraçãoParaibano;"['Falta olhar para a situação que se encontra o hospital Laureano . Uma fila enorme de pessoas que estão esperando uma vaga para iniciar o tratamento. Não é qualquer doença que pode esperar o tempo que for; precisamos de agilidade. Pra que adianta o diagnóstico se não tem o tratamento disponível?? Tanto dinheiro gasto em coisas menos importante, enquanto tanta gente precisa desse tratamento para sobreviver . É triste essa realidade! É lamentável!', 'No caso ela tá se recuperando de uma cirurgia cardíaca ou do exame cateterismo ?  Graças a Deus que você está bem 🙌👏👏👏👏', 'Emocionante, que Deus ajude na sua recuperação Natália para você ajudar ainda várias gestantes. ❤️', 'Eita que benção. Que Deus continue te abençoando Natália 🙏🙏 já já. Vc está de volta conosco.', 'Deus te abençoe, e que você possa continuar sendo anjo na vida das pessoas! Foi um prazer cuidar de você.', 'Renata, que coisa boa vê-la recuperada! 🙌🏾🙏🏾', 'Deus te abençoe Natália ....estamos te esperando ...melhoras e parabéns a toda equipe tanto prefeitura(município )como Estado (governo )está parceria que vale ouro .👏👏👏👏', 'A política passou agora ninguém consegui nada fácil', 'Amiga linda e especial, profissional maravilhosa, só quem convive com vc sabe o quanto és incrível, tocada por Deus! Amiga desejo uma recuperação rápida e que vc volte a fazer aquilo que é divino: cuidar de vidas! Te amo! Que Deus te abençoe sempre 🙏🏻♥️ @souzanatalia0927']";999;https://www.instagram.com/p/DCH7tTMJ0Dr/;Instagram;9;0;Video;08/11/2024;;
