Post;Comentários;Curtidas;Link;Plataforma;QTD_Comentários;QTD_Compartilhamentos;Imagem;Data;Prefeitura;PagFacebook
🎉 05 de maio é sempre um dia de emoção para Pedras de Fogo. 🤩 E domingo não foi diferente! 💥 Com a energia contagiante de Luz do Sol, iniciamos a festa dos 71 anos da cidade, e Thiago Freitas encerrou as comemorações, tornando esse momento inesquecível! 🔥Celebramos nossa história com orgulho e com a certeza de que a luz que guia nosso município jamais se apagará! #Emancipação #PedrasDeFogo #71anos;['Foi toppppp 😍👏👏👏', 'Show 👏👏👏👏', 'Festa top👏👏👏👏👏', '👏👏👏👏👏'];1.978;https://www.instagram.com/p/C6qrykPusuP/;Instagram;4;0;Video;07/05/2024;;
As mesmas pedras das quais saem fogo e deram nome ao município são as que a prefeitura utiliza para reconstruir Pedras de Fogo. Na infraestrutura, na saúde, na educação, na assistência social, em todas as áreas a reconstrução continua. E continua por você, por todos vocês!Porque sem povo não existe município, nem história, nem cultura. Sem você não existiria Pedras de Fogo. E é pela população que continuamos a reconstrução. Para fazer uma Pedras de Fogo ainda melhor. Parabéns, Pedras de Fogo, pelos 71 anos de emancipação política!;['👏👏👏👏 a cidade sempre avançando!', 'Quero comprar uma casa aí!', '👏👏👏👏👏', 'Parabéns a cidade Maravilhosa', '👏👏👏👏', '👏👏👏👏', '👏👏👏👏', '👏👏👏👏👏❤️', '👏👏👏', '👏🏼👏🏼👏🏼👏🏼', '👏👏👏', 'Orgulho de ser pedrafoguesse!! Amo minha cidade! A reconstrução continua 👏👏👏👏', 'Realmente a gestão está trabalhando mas só não fazem nada pelo conjunto Karina César a bora queira aqui está terrível quando chove da trabalho pra sair de casa prefeito BA lembre se de nós aqui também somos eleitores e temos o mesmo direito que os outros', 'Muito orgulho de ter votado 77 em 2020, acreditei nas propostas e estou vendo tudo se realizando, que minha amada pedras de fogo continue a crescer e desenvolver mais e mais 👏🏻👏🏻👏🏻👏🏻👏🏻', 'Parabéns minha pedras de fogo lindaaaa. Parabéns @babarrosoficial 👏👏👏✨🚀🚀🚀🌹'];1.470;https://www.instagram.com/p/C6lONp_ud90/;Instagram;15;0;Video;05/05/2024;;
😍 Vê só o que a gestão municipal realizou nesta semana!São ações em várias áreas, que mostram o município seguindo firme no caminho do desenvolvimento, sendo destaque na Paraíba.💙Governo de Pedras de Fogo, A Reconstrução Continua!;['Aí sim trabalha com respeito ao nosso povo', '👏👏👏👏'];468;https://www.instagram.com/p/DCJl1IHJiku/;Instagram;2;0;Video;09/11/2024;;
💙 A obtenção do Selo UNICEF 2021/2024 reflete nosso compromisso em promover políticas públicas de qualidade voltadas para nossas crianças e adolescentes, garantindo direitos e oportunidades para um futuro mais justo e inclusivo.Seguimos trabalhando para impactar positivamente a vida dos nossos jovens, reafirmando nosso compromisso com uma Pedras de Fogo mais forte e acolhedora para todos.;['Parabéns a gestão e a você que durante todo período,  articulou com maestria  para que Pedras de Fogo  conseguisse o selo UNICEF .', '👏👏', '👏👏', '👏🏼👏🏼👏🏼👏🏼', '👏👏👏👏👏👏', '👏👏👏👏👏👏👏', 'Parabéns @raysantospb 👏👏', 'Parabéns @raysantospb 👏👏'];411;https://www.instagram.com/p/DCHv5j9ShZ_/;Instagram;8;0;Video;08/11/2024;;
💙 Na tarde do dia 6 de novembro, através da Secretaria de Desenvolvimento Social e Habitação, realizamos a entrega de cerca de 5 toneladas de alimentos, como batata, inhame e macaxeira, que vieram diretamente da agricultura familiar para a mesa das famílias que mais precisam. Essa ação faz parte da parceria entre o município de Pedras de Fogo e o Governo do Estado, unindo esforços para garantir que os alimentos cheguem a quem mais necessita. Seguimos firmes no compromisso de enfrentar a insegurança alimentar, espalhando solidariedade e transformando vidas!Governo de Pedras de Fogo - A reconstrução continua!;['😍😍😍👏👏👏', '❤️❤️👏👏', '👏👏👏', '👏🏽👏🏽👏🏽', '❤️❤️👏👏👏', '👏👏👏👏👏'];504;https://www.instagram.com/p/DCEp1sqOgwm/?img_index=1;Instagram;6;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/466001561_18042008681162405_654008741025441470_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=fvCJDGhkYRUQ7kNvgGAOGYB&_nc_gid=ef7fb0cd85b441d6aaeae87ac5e88d34&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NjEwMzIxMTM1MTg3NzM0NQ%3D%3D.3-ccb7-5&oh=00_AYCbU5VQpxDEkhWm1qvSII-rkZOldYwLmuV1vrYGgkw9DA&oe=67366D93&_nc_sid=7a9f4b;07/11/2024;;
💙 Santa Terezinha está mudando para melhor. O Governo de Pedras de Fogo, através da Secretaria de Infraestrutura, está pavimentando 100% da comunidade rural e vai proporcionar melhores condições de habitação à população da localidade. Ao todo, serão mais de 7 mil metros quadrados de pavimentação, dividida em asfalto e paralelepípedo. Drenagem de águas pluviais e calçadas acessíveis também farão parte do conjunto de obras realizadas para levar desenvolvimento à população.🚧 Aqui as obras não param e a Reconstrução Continua!;['👏👏👏👏👏', 'Para a a alegria de uns é a tristeza de outros👏👏👏😍😍', '👏👏👏👏👏👏', 'Parabéns prefeito Babarros Deus te abençoe 🙏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏'];754;https://www.instagram.com/p/DCCnBJ4ydel/;Instagram;4;0;Video;06/11/2024;;
A espera acabou 🎉 Pedras de Fogo acaba de conquistar o Selo UNICEF edição 2021/2024, um marco do compromisso com o futuro das nossas crianças e adolescentes. Essa conquista representa o reconhecimento do Fundo das Nações Unidas para a Infância (UNICEF) pelos avanços na proteção e promoção dos direitos da infância e juventude. Com políticas públicas de qualidade, o município reafirma seu compromisso em construir uma sociedade mais justa e inclusiva, impactando de forma positiva o futuro da nossa juventude. Parabéns, Pedras de Fogo!🌟;['👏👏🙌', '👏👏👏👏👏 Que maravilha', 'Show 👏👏👏', '👏👏', 'Parabéns @raysantospb  assim como a todos que se esforçaram para a consquista desse selo. 👏👏', 'Muito feliz enquanto escola @escola_integralpdf ter feito parte do programa NUCA na edição 2024 . Parabéns a todos que fazem a escola. E e ao Dr. @raysantospb e @blog_do_olimpiades_queiroz por terem  nos convidados para participar deste lindo Programa. Parabéns.👏👏👏', 'Parabéns @raysantospb por toda dedicação, eu sou testemunha de toda luta e esforço. 👏👏👏👏👏👏', 'Parabéns a @raysantospb e todos que atuaram pela condução dos trabalhos e ações que levaram a isso. 👏👏👏👏👏', 'Parabéns, @raysantospb pelo trabalho de excelência realizado na condução desse grande projeto, assim como a todos aqueles que deram sua contribuição. Pedras de Fogo só cresce! 🚀🙏🏽👏🏽'];407;https://www.instagram.com/p/DCCHer6phlB/;Instagram;9;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/465956216_18041907911162405_6458409538146177126_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2NDAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=n0JUylbK2q0Q7kNvgFwTy_C&_nc_gid=ef7fb0cd85b441d6aaeae87ac5e88d34&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NTM4OTE1NTg1NzY2ODQxNw%3D%3D.3-ccb7-5&oh=00_AYCnjh-31eVlA2mj-jbiTdc9h7wgblxEVLevnvB968NGQg&oe=67368398&_nc_sid=7a9f4b;06/11/2024;;
🎭 Mais uma apresentação da 4ª Mostra de Dança Contemporânea proporcionou à população contato com essa expressão artística. Desta vez, o evento aconteceu no Parque Linear e contou com a apresentação da Turma das Rainhas e Turma de Brincantes do Núcleo Cultural do município. 💙 A Cultura em Pedras de Fogo não para e a reconstrução continua!;['Lindo ver nossas praças respirando cultura❤️', 'É uma maravilha esse projeto😍', '😍😍😍', 'Que noite especial! Gratidão ❤️', '👏👏👏👏👏👏', '👏👏👏👏👏👏', '👏👏👏👏', 'Vivaaaaaa a Cultura ❤️🔥😍', 'Todos estão de parabéns lindos 😍😍👏👏', '👏👏👏👏', '👏👏', '😍😍😍😍😍', '👏👏👏👏👏', '👏👏👏👏👏', '👏👏👏👏'];214;https://www.instagram.com/p/DB_6Si3vQmS/;Instagram;15;0;Video;05/11/2024;;
📢 Ontem foi um dia especial para nossa cidade! Concluímos o curso de qualificação profissional da Guarda Civil Municipal de Pedras de Fogo.👮‍♂️ As aulas foram ministradas pela Guarda Metropolitana de Cabedelo, seguindo a grade curricular da Secretaria Nacional de Segurança Pública e Ministério da Justiça. 👮‍♀️ Com profissionais dedicados e bem preparados, nossa cidade ganhará reforço na segurança e no cuidado com cada cidadão. Em breve, eles estarão ao nosso lado, protegendo Pedras de Fogo com compromisso e respeito.💙 A reconstrução continua!;['👏🏽👏🏽👏🏽'];764;https://www.instagram.com/p/DB_XU_Fuw0W/?img_index=1;Instagram;1;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/465695710_18041802683162405_6971920901149489099_n.jpg?stp=dst-jpegr_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODAuaGRyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=HdAOPEc2NrEQ7kNvgHRyioJ&_nc_gid=ef7fb0cd85b441d6aaeae87ac5e88d34&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5NDYxNDQyNTQ4ODkxNTQ5NQ%3D%3D.3-ccb7-5&oh=00_AYDvooda43J1uWYDp51Xj7VD31DV9AWAFF8kuhToymSPcw&oe=6736578E&_nc_sid=7a9f4b;05/11/2024;;
💗 A Secretaria Municipal de Saúde reforçou a importância da prevenção do câncer de mama durante todo o mês de outubro, ofertando palestras, ações de saúde, exames de mamas e coleta de citopatológicos.🎀 O mês foi encerrado com uma grande ação na Policlínica dedicada a todas as mulheres!😍 E lembre-se: o cuidado não se limita a outubro. Todos os meses temos o “Dia D” para o exame citológico e clínico das mamas em todas as unidades de saúde.💕 Lembre-se: Cuidar de si é um ato de amor. Inspire-se, valorize sua saúde e abrace essa causa!;['O outubro é Rosa, mas a luta é diária .🤝🤝🤝', '👏👏👏👏', '👏👏👏', '👏👏👏👏', '👏👏👏👏👏👏', '👏👏👏👏👏👏', 'Uma honra participar de um momento incrível, junto com todos profissionais disponíveis para uma causa tão nobre. Toda equipe está de parabéns!👏👏👏👏👏👏👏👏', 'A Saúde é mais que importante', '👏👏👏👏👏', '👏👏💖', '👏👏👏👏👏👏', '👏🏼👏🏼👏🏼👏🏼👏🏼', '👏👏👏', '👏🏽👏🏽👏🏽👏🏽', '👏👏👏👏👏'];301;https://www.instagram.com/p/DB9Bfh7JUcU/;Instagram;15;0;Video;04/11/2024;;
